Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
489,,000.0000,auto,none,2,locked,off
490,,000.0000,auto,none,2,locked,off
491,,000.0000,auto,none,2,locked,off
492,,000.0000,auto,none,2,locked,off
493,,000.0000,auto,none,2,locked,off
494,,000.0000,auto,none,2,locked,off
495,,000.0000,auto,none,2,locked,off
496,,000.0000,auto,none,2,locked,off
497,,000.0000,auto,none,2,locked,off
498,,000.0000,auto,none,2,locked,off
499,,000.0000,auto,none,2,locked,off
500,,000.0000,auto,none,2,locked,on
